Local;Tipo;Cama;Preço_por_noite;Avaliação;Quantidade_de_avaliações
Apartamento em João Pessoa;Studio a beira-mar em Manaíra;3 camas;195,00;5;-5,00
Apartamento em Tambaú;Lindo Flat na orla da praia de Tambaú.;1 cama de casal;132,00;4,44;-274,00
Apartamento em Manaíra;Uno Flats 201 - Comodidade, luxo e lazer;2 camas;188,00;4,89;-244,00
Apartamento em João Pessoa;Apartamento moderno e confortável no Caribessa;1 cama queen;173,00;4,87;-91,00
Apartamento em Cabo Branco;FLAT confortável à beira-mar da praia Cabo Branco;2 camas;146,00;4,58;-146,00
Apartamento em Loteamento Bela Vista;Flat Beira Mar de Intermares - 306;1 cama queen;162,00;4,89;-141,00
Apartamento em Manaíra;Manaíra -  Conforto e ótima localização!;1 cama de casal;149,00;4,93;-46,00
Apartamento em João Pessoa;APARTAMENTO 03 AGRADÁVEL, CHARMOSO NA BEIRA-MAR!;2 camas;231,00;4,93;-70,00
Apartamento em João Pessoa;Apartamento em Flat frente à Praia de Cabo Branco;2 camas;147,00;4,75;-175,00
Apartamento em Manaíra;Flat Luxo completo+vista incrível+Internet rápida;1 cama;153,00;4,66;-32,00
Apartamento em Cabo Branco;Flat à beira-mar 216 Infinity At The Sea por Julio;1 cama queen;318,00;4,91;-82,00
Apartamento em Cabo Branco;Flat Praia Cabo Branco;1 cama de casal;109,00;4,56;-116,00
Apartamento em Intermares;Flat mobiliado na Praia ,João pessoa / Cabedelo PB;2 camas;103,00;4,6;-175,00
Apartamento em João Pessoa;Israel Flat Tambaú;1 cama;154,00;Novo;
Apartamento em Manaíra;Uno Flats 201 - Comodidade, luxo e lazer;2 camas;188,00;4,89;-244,00
Apartamento em Cabo Branco;Flat Praia Cabo Branco;1 cama de casal;109,00;4,56;-116,00
Apartamento em João Pessoa;Israel Flat Tambaú;1 cama;154,00;Novo;
Apartamento em Cabo Branco;Flat à beira-mar 216 Infinity At The Sea por Julio;1 cama queen;318,00;4,91;-82,00
Apartamento em Manaíra;Uno Flats #11 - luxo pertinho da praia;2 camas;151,00;4,9;-156,00
Apartamento em Cabo Branco;Flat com piscina em localização privilegiada em JP;2 camas;175,00;4,87;-30,00
Apartamento em Cabo Branco;Flat NOVO  à beira mar - Orla de Cabo Branco;1 cama queen;208,00;4,97;-61,00
Apartamento em Cabo Branco;FLAT confortável à beira-mar da praia Cabo Branco;2 camas;146,00;4,58;-146,00
Apartamento em Bessa;Apt super aconchegante e charmoso a 200m da praia;4 camas de casal;145,00;4,93;-67,00
Quarto inteiro em Manaíra;(03) Quarto com copa e acesso independente;1 cama de solteiro;65,00;4,83;-120,00
Apartamento em Manaíra;Uno Flat em Manaíra;1 cama queen;139,00;4,89;-112,00
Quarto inteiro em Loteamento Bela Vista;Apartamento tipo flat a 30mts do mar;1 cama de casal;154,00;4,89;-122,00
Apartamento em Cabo Branco;Flat a beira mar;2 camas;154,00;4,78;-41,00
Apartamento em Bancários;Confortável e econômico! (com ar condicionado);3 camas;97,00;4,36;-55,00
Apartamento em Tambaú;Novo, completo e Luxuoso! Viagem de IDA #01;2 camas;213,00;4,97;-36,00
Apartamento em Loteamento Bela Vista;Apto Praia do Bessa Terréo com Transfer;1 cama;114,00;4,86;-22,00
Condomínio em Cabo Branco;Frente à  Praia em Cabo Branco;5 camas;237,00;5;-24,00
Apartamento em Cabo Branco;Flat Show- Novo e lindo! No melhor do Cabo Branco;2 camas;183,00;4,96;-171,00
Quarto inteiro em Jardim Oceania;Quarto aconchegante;1 cama de casal;52,00;4,83;-18,00
Apartamento em Manaíra;Espetacular flat de frente para o mar com Piscina!;2 camas;190,00;4,9;-58,00
Quarto inteiro em João Pessoa;Suíte a 1 Minuto da Praia de Manaíra;1 cama de casal;114,00;4,69;-32,00
Apartamento em João Pessoa;Flat c/ jacuzzi privativa frente mar Caribessa;2 camas;513,00;Novo;
Apartamento em Manaíra;Apto luxo completo próximo à praia para 4 pessoas.;3 camas;231,00;4,99;-78,00
Apartamento em Manaíra;Flat encantador e espaçoso beira mar;3 camas;160,00;4,68;-28,00
Apartamento em Manaíra;Apartamento aconchegante com 01 quarto, próximo a Orla de Manaira - João Pessoa - PB;2 camas queen;151,00;4,97;-38,00
Apartamento em João Pessoa;Apto com ótima área de lazer e localização (909);3 camas;183,00;4,71;-7,00
Condomínio em Manaíra;APTO 3 Qts completos aconchegante em Manaíra-JP;3 camas;194,00;4,94;-64,00
Apartamento em Cabo Branco;Flat Belo Mar Cabo Branco - Você merece ser feliz!;2 camas;208,00;5;-20,00
Apartamento em Manaíra;Apartamento aconchegante com 01 quarto, próximo a Orla de Manaira - João Pessoa - PB;2 camas queen;129,00;4,97;-38,00
Apartamento em Manaíra;Manaíra - Urbani - Apt 2 Quartos climatizados!;3 camas;244,00;4,98;-112,00
Apartamento em João Pessoa;Apto de Luxo no Tambaú em Prédio Super Moderno;2 camas;181,00;5;-4,00
Apartamento em Cabo Branco;Espaçoso Apt climatizado no coração de Cabo Branco;2 camas de casal;146,00;4,83;-46,00
Apartamento em João Pessoa;Apto em  Manaíra no 19 andar com vista panorâmica.;3 camas;214,00;4,67;-3,00
Condomínio em João Pessoa;Apartamento 1 quarto, beira mar, Manaíra;1 cama de casal;140,00;4,57;-131,00
Apartamento em Cabo Branco;Flat a beira mar;2 camas;133,00;4,78;-41,00
Quarto inteiro em Jardim Oceania;Quarto aconchegante;1 cama de casal;51,00;4,83;-18,00
Apartamento em João Pessoa;Apto com ótima área de lazer e localização (909);3 camas;160,00;4,71;-7,00
Quarto inteiro em João Pessoa;Suíte a 1 Minuto da Praia de Manaíra;1 cama de casal;100,00;4,69;-32,00
Apartamento em Tambaú;Novo, completo e Luxuoso! Viagem de IDA #01;2 camas;185,00;4,97;-36,00
Apartamento em Tambaú;Apartamento completo na melhor área de Tambaú;3 camas;168,00;4,9;-68,00
Apartamento em Manaíra;Apto Completo proximo a praia- Manaíra;3 camas;132,00;4,87;-87,00
Apartamento em Cabo Branco;Apartamento novo Cayenne Residence Ap 205;4 camas;228,00;5;-18,00
Apartamento em Jardim Oceania;Flat a Beira Mar do Bessa;2 camas;180,00;4,88;-43,00
Apartamento em Tambaú;Holanda´s Prime - Flat 213;3 camas;300,00;4,59;-75,00
Apartamento em Cabo Branco;Flat em Cabo Branco Ótima Localização 50m do mar;4 camas;233,00;4,92;-12,00
Apartamento em João Pessoa;UnoFlat 307 -Comodidade, luxo, lazer num só lugar!;2 camas;204,00;4,9;-331,00
Apartamento em Bancários;Confortável e econômico! (com ar condicionado);3 camas;97,00;4,36;-55,00
Apartamento em João Pessoa;“flat” beira-mar em Cabo Branco no Infinity !;1 cama;276,00;5;-5,00
Apartamento em Manaíra;Apartamento adorável na Praia de Manaíra;2 camas;160,00;4,93;-87,00
Apartamento em João Pessoa;Flat 40mts novo com vaga de garagem em Manaira;1 cama de casal;132,00;4,71;-197,00
Apartamento em Jardim Rosas;O melhor estúdio Miramar/Jd Rosas;2 camas;177,00;4,93;-46,00
Apartamento em João Pessoa;Top em João Pessoa!!!!;1 cama de casal;169,00;4,75;-153,00
Apartamento em Manaíra;Apto luxo completo próximo à praia para 4 pessoas.;3 camas;231,00;4,99;-78,00
Apartamento em Manaíra;Apto Completo proximo a praia- Manaíra;3 camas;155,00;4,87;-87,00
Apartamento em Cabo Branco;Flat à beira-mar 205A Infinity At The Sea por Julio;1 cama queen;318,00;4,7;-44,00
Quarto inteiro em Jardim Oceania;Sua Suite  para descansar, perto da praia.;1 cama de casal;59,00;4,93;-41,00
Apartamento em João Pessoa;Flat beira-mar Cabo Branco;2 camas;177,00;5;-5,00
Quarto inteiro em João Pessoa;Quarto 3;1 cama;90,00;4,58;-12,00
Apartamento em Tambaú;Holanda´s Prime - Flat 213;3 camas;300,00;4,59;-75,00
Quarto inteiro em Manaíra;(03) Quarto com copa e acesso independente;1 cama de solteiro;65,00;4,83;-120,00
Apartamento em Tambaú;Luxor Tambau - Conforto e estilo;1 cama;254,00;4,92;-13,00
Apartamento em João Pessoa;Flat beira-mar Cabo Branco;2 camas;177,00;5;-5,00
Apartamento em Cabo Branco;Flat em Cabo Branco Ótima Localização 50m do mar;4 camas;233,00;4,92;-12,00
Apartamento em João Pessoa;Excelente Localização na Praia de Cabo Branco;2 camas;169,00;Novo;
Apartamento em Tambaú;Apto incrível na melhor localização de Tambaú;3 camas;244,00;4,65;-17,00
Apartamento em Manaíra;Flat em João Pessoa - Urbani Manaíra (Sem Toalhas);3 camas;116,00;4,9;-29,00
Apartamento em Tambaú;Maravilhoso Flat com vista para o mar F311;1 cama queen;228,00;4,85;-62,00
Apartamento em Manaíra;Manaíra Flat 206;1 cama de casal;116,00;4,62;-81,00
Apartamento em Cabo Branco;Apto para temporada em Cabo Branco, João Pessoa.;2 camas;127,00;4,84;-26,00
Apartamento em Jardim Oceania;Flat completo a 200m do mar, área de lazer top;2 camas;230,00;4,94;-49,00
Quarto inteiro em Manaíra;(04) Quarto com copa BWC e acesso independente.;1 cama;63,00;4,81;-27,00
Apartamento em Manaíra;Apto luxo completo próximo à praia para 4 pessoas.;3 camas;231,00;4,99;-78,00
Apartamento em Manaíra;Flat encantador e espaçoso beira mar;3 camas;160,00;4,68;-28,00
Apartamento em Cabo Branco;Flat praia de cabo branco;3 camas;277,00;4,97;-60,00
Apartamento em Cabo Branco;Flat à beira-mar 316  Infinito no Mar por Julio;1 cama queen;318,00;4,91;-33,00
Apartamento em João Pessoa;Flat aconchegante a poucos metros do mar;2 camas;204,00;5;-5,00
Apartamento em João Pessoa;Apto área nobre 2km praia Tambaú piscina lazer.;1 cama queen;175,00;5;-3,00
Lugar para ficar em Cabo Branco;Vem para JP curtir o Verão!;1 cama;300,00;4,96;-53,00
Apartamento em João Pessoa;UnoFlat 307 -Comodidade, luxo, lazer num só lugar!;2 camas;204,00;4,9;-331,00
Apartamento em Cabo Branco;Flat à beira-mar 205A Infinity At The Sea por Julio;1 cama queen;318,00;4,7;-44,00
Apartamento em João Pessoa;Flat novíssimo alto padrão todo equipado;1 cama queen;256,00;5;-5,00
Apartamento em Manaíra;Studio - Vista p. o Mar - Praia de Manaira 15% Off;2 camas;185,00;4,88;-49,00
Apartamento em Cabo Branco;Flat à beira-mar 316  Infinito no Mar por Julio;1 cama queen;318,00;4,91;-33,00
Quarto inteiro em Loteamento Bela Vista;Apartamento tipo flat a 30mts do mar;1 cama de casal;154,00;4,89;-122,00
Apartamento em João Pessoa;Apartamento Agradável entre o Parque e a Praia;2 camas de casal;139,00;Novo;
Apartamento em Cabo Branco;Flat encantador na orla da praia de  cabo Branco.;2 camas;287,00;4,96;-50,00
Quarto inteiro em Cabo Branco;Bauten Cabo Branco 205, Novíssimo a 150 m da praia;1 cama;193,00;4,88;-51,00
Apartamento em Jardim Oceania;Flat pé na areia com vista mar e piscina aquecida;2 camas;330,00;4,91;-106,00
Quarto inteiro em Manaíra;(04) Quarto com copa BWC e acesso independente.;1 cama;63,00;4,81;-27,00
Apartamento em João Pessoa;Flat à beira-mar 115 Infinity At The Sea por Julio;1 cama queen;318,00;5;-32,00
Apartamento em João Pessoa;Manaira Gold flat 1505 vizinho ao shopping;1 cama;160,00;4,92;-12,00
Apartamento em Cabo Branco;Flat FANTÁSTICO a beira mar no Cabo Branco;2 camas;195,00;4,97;-122,00
Apartamento em Jardim Oceania;Flat à 200 mts da Praia do Bessa com Área Completa;1 cama de casal;230,00;4,98;-58,00
Apartamento em Cabo Branco;Apt amplo em luxuoso Hotel a 50 metros da praia;4 camas;185,00;4,83;-69,00
Apartamento em João Pessoa;Apartamento NO ECO SUMMER em Tambaú;2 camas de casal;282,00;4,85;-20,00
Apartamento em Cabo Branco;Apartamento na Praia de Cabo Branco - 02 Quartos;4 camas;240,00;4,67;-3,00
Apartamento em João Pessoa;Flat temporada;2 camas queen;204,00;4,95;-22,00
Quarto inteiro em Loteamento Bela Vista;Apartamento tipo flat a 30mts do mar;1 cama de casal;154,00;4,89;-122,00
Apartamento em Cabo Branco;Flat para temporada praia CABO BRANCO/Tambaú;2 camas;231,00;5;-36,00
Apartamento em Cabo Branco;Duas suítes em prédio frente mar! Bem decorado!;3 camas;319,00;4,98;-59,00
Apartamento em Cabo Branco;Cabo Branco edificio à beira mar;1 cama de casal;221,00;4,9;-20,00
Apartamento em Jardim Rosas;O melhor estúdio Miramar/Jd Rosas;2 camas;177,00;4,93;-46,00
Apartamento em João Pessoa;Recanto Tambaú: Excelente flat a 5 min da praia;3 camas;290,00;5;-51,00
Apartamento em João Pessoa;Flat à beira-mar 208B Infinity At The Sea by Julio;1 cama queen;318,00;5;-5,00
Apartamento em Cabo Branco;Apto 08 no Marinas (Prédio beira mar) Cabo Branco;2 camas;267,00;4,47;-15,00
Loft em Jardim Oceania;Studio na Praia do Bessa c/ lazer maravilhoso;1 cama queen;186,00;4,96;-25,00
Apartamento em Tambaú;Apartamento arejado perto do mar;3 camas;116,00;4,25;-4,00
Apartamento em João Pessoa;Flat 40mts novo com vaga de garagem em Manaira;1 cama de casal;132,00;4,71;-197,00
Apartamento em João Pessoa;Flat à beira-mar 119 Ambassador Flat de Julio;2 camas;240,00;4,65;-26,00
Apartamento em Cabo Branco;Luxor Paulo Miranda|Vista Mar/Piscina,Praia,Wi-Fi;2 camas de casal;296,00;4,86;-22,00
Apartamento em Manaíra;Conforto A BEIRA MAR de Manaíra.;1 cama queen;177,00;4,72;-54,00
Apartamento em Jardim Oceania;Flat a Beira Mar do Bessa;2 camas;209,00;4,88;-43,00
Apartamento em João Pessoa;“flat” beira-mar em Cabo Branco no Infinity !;1 cama;276,00;5;-5,00
Apartamento em Tambaú;O lugar certo (topo);2 camas;232,00;4,56;-61,00
Apartamento em João Pessoa;Flat beira-mar Cabo Branco;2 camas;177,00;5;-5,00
Casa em João Pessoa;Casa aconchegante no Bessa - 400 metros da praia;2 camas de casal;128,00;5;-6,00
Apartamento em Tambaú;Flat a beira mar - Solar Tambaú;3 camas;384,00;4,95;-21,00
Apartamento em Cabo Branco;Flat à beira-mar 206A Infinity At The Sea por Julio;1 cama queen;318,00;4,89;-91,00
Quarto inteiro em Manaíra;(02) Quarto com copa e acesso independente;1 cama de casal;86,00;4,82;-121,00
Apartamento em Cabo Branco;Apartamento famílias a 300 m da praia Cabo Branco;5 camas;323,00;4,95;-42,00
Apartamento em Bessa;AP com área privativa à 3 ruas da praia🌴🏖️;3 camas;177,00;4,9;-72,00
Apartamento em João Pessoa;403 - Apartamento da Renata;1 cama de casal;175,00;4,83;-18,00
Apartamento em Intermares;Flat mobiliado Praia , João pessoa / Cabedelo PB;2 camas;123,00;4,7;-282,00
Apartamento em Tambaú;Flat na orla de Tambaú. Localização Privilegiada.;3 camas;173,00;4,91;-33,00
Apartamento em Jardim Oceania;Flat pé na areia com vista mar e piscina aquecida;2 camas;330,00;4,91;-106,00
Apartamento em Tambaú;Flat a beira mar - Solar Tambaú;3 camas;384,00;4,95;-21,00
Apartamento em João Pessoa;Flat na praia, c/estilo, conforto e espaço lazer;1 cama de casal;152,00;4,84;-82,00
Apartamento em Manaíra;Apartamento adorável na Praia de Manaíra;2 camas;160,00;4,93;-87,00
Apartamento em João Pessoa;Apto nas proximidades do melhor da praia do Bessa.;3 camas;264,00;5;-6,00
Quarto inteiro em Cabedelo;Suíte Mar e Sol - INTERMARES;1 cama queen;98,00;5;-10,00
Quarto inteiro em João Pessoa;Quarto em apt aconchegante(seu quarto fora d casa);1 cama de casal;77,00;5;-19,00
Apartamento em Cabo Branco;Apt com Ar na sala, piscina e ao lado da praia;3 camas;188,00;4,7;-76,00
Loft em Cabo Branco;João Pessoa na Orla da Praia do Cabo Branco;1 cama;143,00;4,42;-67,00
Quarto inteiro em João Pessoa;Pé na areia.;1 cama;189,00;5;-7,00
Apartamento em Cabo Branco;Flat Cabo Branco (B) - Você merece ser feliz!;2 camas;262,00;4,99;-71,00
Apartamento em João Pessoa;Flat aconchegante a poucos metros do mar;2 camas;204,00;5;-5,00
Condomínio em João Pessoa;Belíssimo apartamento com vista privilegiada.;2 camas de casal;216,00;4,94;-16,00
Apartamento em João Pessoa;Flat temporada;2 camas queen;204,00;4,95;-22,00
Apartamento em Tambaú;Apartamento na praia de Tambaú;3 camas;321,00;4,72;-18,00
Apartamento em Manaíra;EXCELENTE  FLAT 622 NA ORLA DA PRAIA DE MANAÍRA;1 cama de casal;169,00;4,86;-22,00
Apartamento em João Pessoa;Recanto Tambaú: Excelente flat a 5 min da praia;3 camas;290,00;5;-51,00
Apartamento em Cabo Branco;Luxor Paulo Miranda|Vista Mar e Piscina,Wi-Fi;2 camas de casal;385,00;4,86;-22,00
Apartamento em Jardim Oceania;Belíssimo Apto na praia do Bessa 303;2 camas;215,00;4,88;-67,00
Apartamento em João Pessoa;Apto área nobre 2km praia Tambaú piscina lazer.;1 cama queen;175,00;5;-3,00
Quarto inteiro em Jardim Oceania;Suite a metros da praia...;2 camas de casal;59,00;4,94;-185,00
Apartamento em João Pessoa;Apartamento bem localizado com piscina! (404);4 camas;283,00;5;-7,00
Casa em João Pessoa;Casa aconchegante no Bessa - 400 metros da praia;2 camas de casal;128,00;5;-6,00
Quarto inteiro em João Pessoa;Um lugar familiar e confortável;3 camas;59,00;Novo;
Apartamento em João Pessoa;Flat 503 (Duplo) Vivendas do Mar;1 cama;208,00;5;-4,00
Apartamento em João Pessoa;Aconchego na Beira Mar de Manaíra!!;1 cama de casal;169,00;4,68;-118,00
Apartamento em Jardim Oceania;Amsterdam apartamento 3 quartos 180 metros da orla;4 camas;110,00;4,91;-116,00
Apartamento em João Pessoa;Beira mar da praia de Cabo Branco flat;4 camas;318,00;5;-5,00
Apartamento em João Pessoa;Flat à beira-mar 115 Infinity At The Sea por Julio;1 cama queen;318,00;5;-32,00
Condomínio em João Pessoa;Apto decorado com vista para o mar;3 camas;314,00;4,85;-118,00
Quarto inteiro em Manaíra;(02) Quarto com copa e acesso independente;1 cama de casal;86,00;4,82;-121,00
Apartamento em Tambaú;(Novo) Flat Luxo+Automação+Wi-Fi 150 praia Tambaú;2 camas;274,00;4,81;-16,00
Apartamento em Cabo Branco;Luxor Paulo Miranda|Cabo Branco,Wi-Fi,Beira-Mar;3 camas;296,00;4,53;-40,00
Condomínio em Intermares;Lindo Flat 50 metros da Praia de Intermares.;1 cama;183,00;4,85;-20,00
Apartamento em Jardim Oceania;NOVO - Excelente FLAT de 2 quartos, no Caribessa.;3 camas;210,00;4,92;-53,00
Apartamento em Cabo Branco;Montcristo | Cabo Branco, Beira-Mar, Praia, Wi-Fi;2 camas de casal;279,00;4,91;-11,00
Apartamento em Jardim Oceania;Apto perto do mar e de frente ao pq. Parayba 1;3 camas;163,00;4,86;-21,00
Apartamento em Tambaú;No melhor de Tambaú, Eco Summer.;2 camas de casal;346,00;4,89;-36,00
Apartamento em Manaíra;Apartamento climatizado  a 300 metros da praia.;2 camas de casal;404,00;5;-29,00
Apartamento em Cabo Branco;Luxor Paulo Miranda|Vista Mar/Piscina,Wi-Fi,Praia;3 camas;296,00;4,78;-9,00
Apartamento em Tambaú;O lugar certo (topo);2 camas;232,00;4,56;-61,00
Apartamento em João Pessoa;Apartamento completo com 3 quartos sendo 1 suíte;3 camas de casal;151,00;4,72;-18,00
Loft em João Pessoa;Lindo apto pé na areia com vista de tirar o fôlego;1 cama queen;414,00;5;-9,00
Apartamento em Cabo Branco;Apto 3 quartos com piscina e pertinho da praia.;4 camas;370,00;5;-7,00
Apartamento em Tambaú;Flat Studio em Tambaú. 1QT.  Ótima localização.;1 cama de casal;184,00;4,87;-95,00
Apartamento em Manaíra;Goldflat - Manaira | dois quartos varanda e vista;3 camas;239,00;4,61;-74,00
Suíte de hóspedes em João Pessoa;Flat Tropical. A pausa.;4 camas;192,00;4,9;-29,00
Apartamento em João Pessoa;Beira mar da praia de Cabo Branco flat;4 camas;318,00;5;-5,00
Apartamento em Tambaú;Flat no melhor ponto da orla de Tambaú;3 camas;240,00;4,95;-21,00
Apartamento em Cabo Branco;Apto 3 quartos com piscina e pertinho da praia.;4 camas;370,00;5;-7,00
Apartamento em Gramame;Confortável AP, na saída para o litoral Sul!;2 camas;64,00;4,82;-11,00
Apartamento em Jardim Oceania;Flat com vista perfeita e área completa de lazer!;2 camas;205,00;4,94;-33,00
Loft em Cabo Branco;João Pessoa na Orla da Praia do Cabo Branco;1 cama;143,00;4,42;-67,00
Condomínio em Portal do Sol;Aconchego no Portal do Sol;3 camas;202,00;4,96;-52,00
Microcasa em João Pessoa;Chalé  Caribe;1 cama;84,00;4,87;-30,00
Apartamento em Tambaú;Flat de frente a linda praia de tambaú;3 camas;320,00;4,93;-46,00
Apartamento em Tambaú;Flat Studio em Tambaú. 1QT.  Ótima localização.;1 cama de casal;184,00;4,87;-95,00
Apartamento em João Pessoa;Ap 2 quartos com piscina na cobertura perto do mar;2 camas;267,00;Novo;
Loft em Jardim Oceania;Studio na Praia do Bessa c/ lazer maravilhoso;1 cama queen;186,00;4,96;-25,00
Apartamento em Cabo Branco;Montcristo | Cabo Branco, Beira-Mar, Praia, Wi-Fi;2 camas de casal;279,00;4,91;-11,00
Apartamento em Cabo Branco;Duas suítes em prédio frente mar! Bem decorado!;3 camas;319,00;4,98;-59,00
Apartamento em Cabo Branco;Aconchego a beira mar;4 camas;262,00;4,75;-28,00
Apartamento em João Pessoa;Flat novíssimo alto padrão todo equipado;1 cama queen;256,00;5;-5,00
Quarto inteiro em João Pessoa;Quarto inteiro na Praia do Bessa, beira-mar;1 cama de casal;80,00;4,69;-217,00
Apartamento em Tambaú;Solar Tambaú, excelente apartamento em beira mar;2 camas;369,00;4,99;-74,00
Apartamento em Cabo Branco;Apto 3 quartos com piscina e pertinho da praia.;4 camas;370,00;5;-7,00
Condomínio em Jardim Oceania;Joao Pessoa apto férias Oceania Bessa.;2 camas;295,00;4,93;-45,00
Apartamento em João Pessoa;Apartamento Manaíra Tudo Novo;6 camas;229,00;Novo;
Apartamento em Bessa;Apartamento Familiar, Bessa JP 450 metros da praia;3 camas;104,00;4,68;-19,00
Apartamento em João Pessoa;Apartamento aconchegante na beira mar de Jampa por Carpediem;2 camas queen;298,00;5;-4,00
Apartamento em Manaíra;Apartamento climatizado  a 300 metros da praia.;2 camas de casal;404,00;5;-29,00
Condomínio em Tambaú;Apto301 - Equipado, confortável e bem localizado;2 camas;283,00;5;-21,00
Apartamento em Tambaú;Luxor Tambau - Conforto e estilo;1 cama;254,00;4,92;-13,00
Apartamento em Jardim Oceania;Flat com vista perfeita e área completa de lazer!;2 camas;205,00;4,94;-33,00
Condomínio em João Pessoa;Apartamento acolhedor.... Férias? trabalho?;3 camas;176,00;4,86;-14,00
Apartamento em Cabedelo;Apt 202: 1 quarto próximo a praia de Areia Dourada;1 sofá-cama;140,00;5;-7,00
Apartamento em Cabo Branco;Sunrise Blue Suites Luxo / com vista do mar e varanda;1 cama queen;254,00;4,66;-62,00
Apartamento em Cabo Branco;Luxor Paulo Miranda|Cabo Branco,Wi-Fi,Beira-Mar;3 camas;296,00;4,53;-40,00
